hid,type1,type2,month,m_id,q6_1,q6_1_1,q6_1_2,q6_1_3,q6_1_4,q6_1_5,q6_1_6,q6_1_7,q6_1_8,q6_2_a,q6_2_b,q6_2_c,q6_3,q6_4_1,q6_4_2,q6_4_3,q6_4_4,q6_4_5,q6_4_6,q6_4_7,q6_4_8,q6_4_9,q6_4_10,q6_4_11,q6_4_12,q6_4_13,q6_4_1a,q6_4_2a,q6_4_3a,q6_4_4a,q6_4_5a,q6_4_6a,q6_4_7a,q6_4_8a,q6_4_9a,q6_4_10a,q6_4_11a,q6_4_12a,q6_4_13a,q6_5_1,q6_5_2,q6_5_3,q6_5_4,q6_5_5,q6_5_6,q6_5_7,q6_5_8,q6_5_9,q6_5_10,q6_5_11,q6_5_12,q6_5_13,q6_5_14,q6_5_15,q6_5_16,q6_5_17,q6_5_18,q6_5_19,q6_5_20,q6_5_21,q6_6,q6_7,q6_8,q11_b_1_1,q11_b_1_1a,q11_b_1_2,q11_b_1_2a,q11_b_1_3,q11_b_1_3a,q11_b_2_1,q11_b_2_1a,q11_b_2_2,q11_b_2_2a,q11_b_2_3,q11_b_2_3a,q11_b_3_1,q11_b_3_1a,q11_b_3_2,q11_b_3_2a,q11_b_3_3,q11_b_3_3a,q11_b_4_1,q11_b_4_1a,q11_b_4_2,q11_b_4_2a,q11_b_4_3,q11_b_4_3a,q11_b_5_1,q11_b_5_1a,q11_b_5_2,q11_b_5_2a,q11_b_5_3,q11_b_5_3a,q11_b_6_1,q11_b_6_1a,q11_b_6_2,q11_b_6_2a,q11_b_6_3,q11_b_6_3a,q11_b_7_1,q11_b_7_1a,q11_b_7_2,q11_b_7_2a,q11_b_7_3,q11_b_7_3a,q11_b_8_1,q11_b_8_1a,q11_b_8_2,q11_b_8_2a,q11_b_8_3,q11_b_8_3a,q11_b_9_1,q11_b_9_1a,q11_b_9_2,q11_b_9_2a,q11_b_9_3,q11_b_9_3a,wt
12764,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7684.99453
12766,2,2,8,250065,154,002,004,005,,,,,,2,1,7,7,,2,,,,,,,,,,,,,2,,,,,,,,,,,,1,2,,4,,,,8,9,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.878792
12766,2,2,8,250065,182,002,001,003,,,,,,2,1,7,7,,2,,,,,,,,,,,,,2,,,,,,,,,,,,1,2,,4,,,,8,9,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.878792
12766,2,2,8,250065,34,004,009,,,,,,,2,1,7,3,,2,,,,,,,,,,,,,1,,,,,,,,,,,,1,2,,4,,,,8,9,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.878792
12766,2,1,1,250064,30,001,003,,,,,,,5,2,3,3,,2,,,,,,,,,,,,,5,,,,,,,,,,,,1,2,,4,,,,8,,,,,,,,,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.878792
12766,1,1,2,152035,911,010,,,,,,,,2,4,11,3,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,8,9,,,,,,,,,,,,,4,4,4,0,,0,,0,,90909,31,0,,0,,90909,31,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,818181,31,0,,0,,0,,0,,0,,0,,0,,0,,1440.878792
12766,2,2,8,250065,235,001,,,,,,,,2,1,7,7,,2,,,,,,,,,,,,,2,,,,,,,,,,,,1,2,,4,,,,8,9,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.878792
12767,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5054.346023
12769,2,2,7,200925,70,018,,,,,,,,12,14,13,3,,2,,,,,,,,10,,,,,6,,,,,,,,4,,,,1,,,4,5,,,8,9,,,,,,,,17,,,,,5,4,4,,,,,,,,,,,,,140000,31,,,,,425000,31,,,,,400000,31,,,,,320000,31,,,,,,,,,,,,,,,,,170000,31,,,,,2055.10944
12770,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11766.54828
